method,n_cells,median_of_cell_median_delta,mean_win_rate,mean_loss_rate,fraction_cells_median_delta_lt0,cells_q_lt_0_05,best_q_value
lr_adapt_proxy,36,-44.34559581418432,0.5305555555555557,0.4694444444444444,0.6666666666666666,2,0.026785714285714284
phasewall_plus_lr_tuned,36,-14.797942336913636,0.5333333333333333,0.4666666666666667,0.6944444444444444,1,0.016544117647058824
phasewall_tuned,36,0.37034402772860175,0.4583333333333333,0.5416666666666665,0.4166666666666667,0,0.2629076086956522
pop4x,36,1403.2623011332582,0.11666666666666664,0.8833333333333333,0.0,27,0.016544117647058824
